Temperature (K)	Pressure (bar)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/bar)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/bar)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
287.20	6.8762e-05	753.79	0.0013266	-88.001	-88.001	-228.72	302.72	371.00	1325.1	-0.043643	1668.0	0.13793	0.025875	0.00049052	2038.7	-27.729	-25.341	-10.539	261.72	270.03	120.26	22.484	4.2060	0.0079822
287.26	6.9144e-05	753.74	0.0013267	-87.979	-87.979	-228.64	302.75	371.03	1324.8	-0.043638	1666.0	0.13792	0.025870	0.00049314	2027.8	-27.713	-25.325	-10.528	261.76	270.08	120.28	22.463	4.2070	0.0079857
287.32	6.9528e-05	753.69	0.0013268	-87.956	-87.956	-228.56	302.79	371.06	1324.6	-0.043633	1664.0	0.13790	0.025864	0.00049577	2017.1	-27.697	-25.308	-10.517	261.81	270.13	120.29	22.442	4.2080	0.0079891
287.38	6.9914e-05	753.65	0.0013269	-87.934	-87.934	-228.48	302.83	371.09	1324.3	-0.043627	1661.9	0.13789	0.025859	0.00049842	2006.3	-27.681	-25.292	-10.506	261.85	270.17	120.30	22.421	4.2090	0.0079926
287.44	7.0302e-05	753.60	0.0013270	-87.911	-87.911	-228.40	302.86	371.12	1324.1	-0.043622	1659.9	0.13787	0.025854	0.00050108	1995.7	-27.665	-25.275	-10.495	261.90	270.22	120.31	22.399	4.2099	0.0079960
287.50	7.0692e-05	753.56	0.0013270	-87.889	-87.889	-228.32	302.90	371.15	1323.8	-0.043617	1657.9	0.13786	0.025848	0.00050375	1985.1	-27.649	-25.259	-10.484	261.95	270.26	120.33	22.378	4.2109	0.0079995
287.56	7.1084e-05	753.51	0.0013271	-87.866	-87.866	-228.25	302.93	371.19	1323.6	-0.043611	1655.9	0.13784	0.025843	0.00050644	1974.6	-27.633	-25.243	-10.473	261.99	270.31	120.34	22.357	4.2119	0.0080030
287.62	7.1478e-05	753.47	0.0013272	-87.844	-87.844	-228.17	302.97	371.22	1323.3	-0.043606	1653.9	0.13783	0.025838	0.00050913	1964.1	-27.618	-25.226	-10.462	262.04	270.35	120.35	22.336	4.2129	0.0080064
287.68	7.1874e-05	753.42	0.0013273	-87.821	-87.821	-228.09	303.01	371.25	1323.0	-0.043601	1651.9	0.13781	0.025832	0.00051185	1953.7	-27.602	-25.210	-10.451	262.08	270.40	120.36	22.315	4.2138	0.0080099
287.75	7.2271e-05	753.38	0.0013274	-87.799	-87.799	-228.01	303.04	371.28	1322.8	-0.043596	1649.9	0.13780	0.025827	0.00051457	1943.4	-27.586	-25.193	-10.440	262.13	270.44	120.37	22.294	4.2148	0.0080133
287.81	7.2671e-05	753.33	0.0013274	-87.776	-87.776	-227.93	303.08	371.31	1322.5	-0.043590	1648.0	0.13778	0.025822	0.00051731	1933.1	-27.570	-25.177	-10.429	262.17	270.49	120.39	22.273	4.2158	0.0080168
287.87	7.3073e-05	753.29	0.0013275	-87.754	-87.754	-227.86	303.12	371.34	1322.3	-0.043585	1646.0	0.13777	0.025817	0.00052006	1922.9	-27.554	-25.161	-10.418	262.22	270.54	120.40	22.252	4.2168	0.0080203
287.93	7.3477e-05	753.24	0.0013276	-87.731	-87.731	-227.78	303.15	371.37	1322.0	-0.043580	1644.0	0.13775	0.025811	0.00052282	1912.7	-27.538	-25.144	-10.406	262.26	270.58	120.41	22.232	4.2177	0.0080237
287.99	7.3882e-05	753.20	0.0013277	-87.709	-87.709	-227.70	303.19	371.41	1321.8	-0.043575	1642.0	0.13774	0.025806	0.00052560	1902.6	-27.522	-25.128	-10.395	262.31	270.63	120.42	22.211	4.2187	0.0080272
288.05	7.4290e-05	753.15	0.0013278	-87.686	-87.686	-227.62	303.23	371.44	1321.5	-0.043569	1640.0	0.13772	0.025801	0.00052839	1892.6	-27.506	-25.111	-10.384	262.36	270.67	120.44	22.190	4.2197	0.0080306
288.11	7.4700e-05	753.11	0.0013278	-87.663	-87.663	-227.54	303.26	371.47	1321.3	-0.043564	1638.1	0.13771	0.025795	0.00053119	1882.6	-27.490	-25.095	-10.373	262.40	270.72	120.45	22.169	4.2207	0.0080341
288.17	7.5112e-05	753.06	0.0013279	-87.641	-87.641	-227.46	303.30	371.50	1321.0	-0.043559	1636.1	0.13769	0.025790	0.00053401	1872.6	-27.474	-25.078	-10.361	262.45	270.76	120.46	22.148	4.2216	0.0080376
288.23	7.5526e-05	753.02	0.0013280	-87.618	-87.618	-227.39	303.33	371.53	1320.8	-0.043553	1634.1	0.13768	0.025785	0.00053684	1862.8	-27.458	-25.062	-10.350	262.49	270.81	120.47	22.127	4.2226	0.0080410
